process,frame_no,time
station,frame_no,ts
rlncenc, 0, 30.474185943603516
send, 0, 1664901553.9156928
rlncenc, 1, 2.3233890533447266
send, 1, 1664901553.9523017
rlncenc, 2, 1.0232925415039062
send, 2, 1664901553.9872513
rlncenc, 3, 1.3151168823242188
send, 3, 1664901554.0225952
rlncenc, 4, 1.7666816711425781
send, 4, 1664901554.058505
rlncenc, 5, 1.4557838439941406
send, 5, 1664901554.0940773
rlncenc, 6, 1.3110637664794922
send, 6, 1664901554.1294749
rlncenc, 7, 1.5325546264648438
send, 7, 1664901554.1650503
rlncenc, 8, 1.218557357788086
send, 8, 1664901554.2004616
rlncenc, 9, 1.1813640594482422
send, 9, 1664901554.235735
rlncenc, 10, 1.7900466918945312
send, 10, 1664901554.2720695
rlncenc, 11, 0.8599758148193359
send, 11, 1664901554.3070273
rlncenc, 12, 1.0707378387451172
send, 12, 1664901554.3421962
rlncenc, 13, 1.0409355163574219
send, 13, 1664901554.3773127
rlncenc, 14, 0.6093978881835938
send, 14, 1664901554.412162
rlncenc, 15, 0.6921291351318359
send, 15, 1664901554.446641
rlncenc, 16, 1.6582012176513672
send, 16, 1664901554.4824996
rlncenc, 17, 0.9477138519287109
send, 17, 1664901554.5174642
rlncenc, 18, 1.0342597961425781
send, 18, 1664901554.5523853
rlncenc, 19, 1.3933181762695312
send, 19, 1664901554.5879688
rlncenc, 20, 2.173900604248047
send, 20, 1664901554.6252024
rlncenc, 21, 1.3935565948486328
send, 21, 1664901554.66075
rlncenc, 22, 1.1663436889648438
send, 22, 1664901554.6960409
rlncenc, 23, 1.0166168212890625
send, 23, 1664901554.7312198
rlncenc, 24, 1.1110305786132812
send, 24, 1664901554.7664957
rlncenc, 25, 0.9641647338867188
send, 25, 1664901554.8016553
rlncenc, 26, 1.598358154296875
send, 26, 1664901554.837495
rlncenc, 27, 1.5003681182861328
send, 27, 1664901554.8731346
rlncenc, 28, 1.5270709991455078
send, 28, 1664901554.908923
rlncenc, 29, 1.2793540954589844
send, 29, 1664901554.944458
rlncenc, 30, 2.603292465209961
send, 30, 1664901554.9818356
rlncenc, 31, 1.50299072265625
send, 31, 1664901555.0175931
rlncenc, 32, 1.5382766723632812
send, 32, 1664901555.05324
rlncenc, 33, 1.6455650329589844
send, 33, 1664901555.0891225
rlncenc, 34, 2.1457672119140625
send, 34, 1664901555.125559
rlncenc, 35, 1.748800277709961
send, 35, 1664901555.1615992
rlncenc, 36, 1.6312599182128906
send, 36, 1664901555.1974883
rlncenc, 37, 1.7960071563720703
send, 37, 1664901555.23356
rlncenc, 38, 2.0089149475097656
send, 38, 1664901555.2698061
rlncenc, 39, 1.9879341125488281
send, 39, 1664901555.305945
rlncenc, 40, 3.655672073364258
send, 40, 1664901555.3442314
rlncenc, 41, 1.5912055969238281
send, 41, 1664901555.380062
rlncenc, 42, 1.0476112365722656
send, 42, 1664901555.4151256
rlncenc, 43, 1.7285346984863281
send, 43, 1664901555.4509847
rlncenc, 44, 1.7194747924804688
send, 44, 1664901555.486957
rlncenc, 45, 1.477956771850586
send, 45, 1664901555.5227795
rlncenc, 46, 1.6524791717529297
send, 46, 1664901555.5585878
rlncenc, 47, 1.2578964233398438
send, 47, 1664901555.5941246
rlncenc, 48, 1.7366409301757812
send, 48, 1664901555.6301382
rlncenc, 49, 1.165628433227539
send, 49, 1664901555.6654963
rlncenc, 50, 4.470348358154297
send, 50, 1664901555.7047517
rlncenc, 51, 1.3523101806640625
send, 51, 1664901555.740362
rlncenc, 52, 1.4486312866210938
send, 52, 1664901555.7759051
rlncenc, 53, 2.064943313598633
send, 53, 1664901555.812173
rlncenc, 54, 1.5871524810791016
send, 54, 1664901555.8479998
rlncenc, 55, 1.392364501953125
send, 55, 1664901555.883585
rlncenc, 56, 1.39617919921875
send, 56, 1664901555.919224
rlncenc, 57, 1.1661052703857422
send, 57, 1664901555.9547362
rlncenc, 58, 1.3434886932373047
send, 58, 1664901555.9903502
rlncenc, 59, 2.023935317993164
send, 59, 1664901556.0265288
rlncenc, 60, 4.099607467651367
send, 60, 1664901556.0654254
rlncenc, 61, 1.4672279357910156
send, 61, 1664901556.1009974
rlncenc, 62, 1.7015933990478516
send, 62, 1664901556.136936
rlncenc, 63, 2.0208358764648438
send, 63, 1664901556.1732056
rlncenc, 64, 1.6450881958007812
send, 64, 1664901556.2091434
rlncenc, 65, 1.6398429870605469
send, 65, 1664901556.2449372
rlncenc, 66, 1.416921615600586
send, 66, 1664901556.2806396
rlncenc, 67, 1.8351078033447266
send, 67, 1664901556.3167002
rlncenc, 68, 1.6391277313232422
send, 68, 1664901556.352573
rlncenc, 69, 1.630544662475586
send, 69, 1664901556.388445
rlncenc, 70, 4.051446914672852
send, 70, 1664901556.4272733
rlncenc, 71, 1.5115737915039062
send, 71, 1664901556.4628756
rlncenc, 72, 1.0149478912353516
send, 72, 1664901556.497918
rlncenc, 73, 1.104593276977539
send, 73, 1664901556.5330534
rlncenc, 74, 1.6846656799316406
send, 74, 1664901556.5688531
rlncenc, 75, 1.8906593322753906
send, 75, 1664901556.6048074
rlncenc, 76, 1.6524791717529297
send, 76, 1664901556.6406114
rlncenc, 77, 1.5616416931152344
send, 77, 1664901556.67641
rlncenc, 78, 1.4989376068115234
send, 78, 1664901556.7121346
rlncenc, 79, 1.5673637390136719
send, 79, 1664901556.7479234
rlncenc, 80, 3.3218860626220703
send, 80, 1664901556.7859395
rlncenc, 81, 1.169443130493164
send, 81, 1664901556.8212273
rlncenc, 82, 1.0666847229003906
send, 82, 1664901556.8565211
rlncenc, 83, 1.2011528015136719
send, 83, 1664901556.8919063
rlncenc, 84, 1.1754035949707031
send, 84, 1664901556.927252
rlncenc, 85, 1.1360645294189453
send, 85, 1664901556.9625902
rlncenc, 86, 1.1334419250488281
send, 86, 1664901556.9979196
rlncenc, 87, 1.1467933654785156
send, 87, 1664901557.0332804
rlncenc, 88, 1.1234283447265625
send, 88, 1664901557.068615
rlncenc, 89, 1.2917518615722656
send, 89, 1664901557.1040337
rlncenc, 90, 3.4711360931396484
send, 90, 1664901557.1421702
rlncenc, 91, 0.9822845458984375
send, 91, 1664901557.17725
rlncenc, 92, 1.0235309600830078
send, 92, 1664901557.2123802
rlncenc, 93, 1.1339187622070312
send, 93, 1664901557.2477472
rlncenc, 94, 1.1968612670898438
send, 94, 1664901557.2831252
rlncenc, 95, 0.9753704071044922
send, 95, 1664901557.3183
rlncenc, 96, 1.5037059783935547
send, 96, 1664901557.353992
rlncenc, 97, 1.5027523040771484
send, 97, 1664901557.3897202
rlncenc, 98, 1.605987548828125
send, 98, 1664901557.4255414
rlncenc, 99, 1.0933876037597656
send, 99, 1664901557.460663
rlncenc, 100, 3.6973953247070312
send, 100, 1664901557.498919
rlncenc, 101, 1.7266273498535156
